t,mean_deg,locked_frac,S95,peaks,L_flow,P_press,g_flow,top10_flow,g_mem,top10_mem,dim_est
139,8.192708333333334,0.0,365,0,0.0006425902796962632,1.7605213142363374e-06,0.5255993579842897,0.09506942783657325,0.12114363982487926,0.010436931759343855,1.4430608936820681
140,8.192708333333334,0.0,365,0,0.0004815801067496906,1.3193975527388783e-06,0.5287594643717642,0.09957527792652085,0.12114286924951281,0.010436945251024118,1.5338195411138826
141,8.192708333333334,0.0,365,0,0.0003654722450654726,1.0012938220971853e-06,0.5328884110686827,0.10203315241258161,0.12114228336996563,0.010436955179654745,1.5338195411138826
142,8.192708333333334,0.0,365,0,0.0002784579758125099,7.628985638698901e-07,0.5357071225350591,0.10450877666712922,0.12114184138522259,0.010436962647555136,1.5338195411138826
143,8.192708333333334,0.0,365,0,0.00021277369886221238,5.829416407183901e-07,0.5385819144351601,0.10664324592690937,0.12114150525230677,0.010436968302891701,1.5338195411138826
144,8.192708333333334,0.0,365,0,0.0001629074079988887,4.4632166575037997e-07,0.54151735891652,0.10863957740304175,0.12114124933124583,0.01043697262138983,1.5338195411138826
145,8.145833333333334,0.0,365,0,0.00012498273122724162,3.4241844171847016e-07,0.5446518163829689,0.11066529199253583,0.12036917246857268,0.010477352351243302,1.5338195411138826
146,8.145833333333334,0.0,365,0,9.592658682223886e-05,2.628125666362709e-07,0.545905059621806,0.11196971347899909,0.12036902109750018,0.010477354751303486,1.5338195411138826
147,8.145833333333334,0.0,365,0,7.376958165756893e-05,2.0210844289744913e-07,0.5472216065966743,0.11367629615008831,0.12036890540410548,0.010477356616710683,1.5338195411138826
148,8.145833333333334,0.0,365,0,5.6828564249844804e-05,1.5569469657491726e-07,0.5490565536391723,0.1150806217201915,0.12036881655297521,0.010477358076826464,1.5338195411138826
149,8.145833333333334,0.0,365,0,4.3811991365365794e-05,1.200328530557967e-07,0.5513634569895411,0.11643416712465429,0.12036874825476919,0.010477359221262684,1.5338195411138826
150,8.145833333333334,0.0,365,0,3.380443609479186e-05,9.261489341038866e-08,0.553891116132337,0.11768855645104864,0.12036869569497254,0.010477360118512902,1.4911345611687592
151,8.09375,0.0,365,0,2.6182831918816534e-05,7.17337860789494e-08,0.5570283832636687,0.11851319008138333,0.11904307580751802,0.010518365656146495,1.4911345611687592
152,8.09375,0.0,365,0,2.0021505554222407e-05,5.485343987458194e-08,0.5615472297177778,0.12072954856085162,0.11904304398341277,0.010518366215963543,1.4911345611687592
153,8.09375,0.0,365,0,1.5450555455132315e-05,4.2330288918170726e-08,0.5649309638505386,0.12200545976695543,0.11904301960770801,0.010518366647707035,1.4911345611687592
