t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
6163,27,5,22,1,0,1,0.01809970968782481,0.017463617463617465,0.000636092224207345,0.020246478873239434,0.01696976397103532,0.0032767149022041135,0.15011037527593818,6.560367658788665,0.0009721105280018672,1.0
6164,17,3,14,0,0,0,0.01809776376146789,0.017461407758215537,0.0006363560032523544,0.020237571491421025,0.01697445537985182,0.003263116111569205,0.15011037527593818,6.559695850117422,0.0009182584335330584,1.0
6165,27,3,24,0,0,0,0.01809581825348479,0.01745762099251816,0.0006381972609666269,0.020242024202420238,0.016968826000442184,0.003273198201978054,0.15011037527593818,6.558906729710236,0.0008632585543914889,1.0
6166,18,4,14,0,0,0,0.0180932248934112,0.017455412804250014,0.0006378120891611869,0.020246478873239434,0.01697445537985182,0.0032720234933876144,0.15011037527593818,6.558061103483302,0.0008133140922059755,1.0
6167,20,5,15,0,0,0,0.018089984238429575,0.01745304750806255,0.0006369367303670249,0.020242024202420238,0.016967888133532304,0.003274136068887934,0.15011037527593818,6.557107481445875,0.0007580702982055607,1.0
6168,18,3,15,1,0,1,0.018088040402593215,0.017459715297348074,0.0006283251052451415,0.020242024202420238,0.017034456058846303,0.003207568143573935,0.15011037527593818,6.556052263706775,0.0007029256644771412,1.0
6169,34,6,28,0,0,0,0.018084153983885406,0.017455300704352538,0.0006288532795328677,0.020233120738948753,0.01702127659574468,0.003211844143204072,0.15011037527593818,6.554931622672462,0.0006506783025910688,1.0
6170,28,5,23,0,0,0,0.01808091657715718,0.01745167610122514,0.00062924047593204,0.02022422510441855,0.01701845507790916,0.0032057700265093886,0.15011037527593818,6.553724075831698,0.0005960329924931632,1.0
6171,30,6,24,1,0,1,0.018077033218785798,0.017456921841010227,0.0006201113777755708,0.020215337288508016,0.01701563449533175,0.0031997027931762664,0.15011037527593818,6.552455113889881,0.0005433800003269099,1.0
6172,21,6,15,0,0,0,0.018073151528165486,0.017454558581975053,0.0006185929461904327,0.019986821875686355,0.016966950370288492,0.003019871505397863,0.15011037527593818,6.5510853918137695,0.00048675941337123776,1.0
6173,28,6,22,1,0,1,0.018069271504222127,0.01746011694217859,0.0006091545620435374,0.019986821875686355,0.017014694508894045,0.00297212736679231,0.15011037527593818,6.549611480747595,0.00042953748787381846,1.0
6174,36,11,25,0,0,0,0.018062162452162096,0.017456179126559553,0.0006059833256025424,0.019947391494958347,0.017007178354500278,0.0029402131404580693,0.15011037527593818,6.5480693910186085,0.0003754085983356461,1.0
6175,20,5,15,0,0,0,0.018058932913746245,0.017453817289652188,0.0006051156240940575,0.01996927803379416,0.016954768873916164,0.003014509159877995,0.15011037527593818,6.54645071752184,0.00032030484169013424,1.0
6176,26,6,20,2,1,1,0.01809081158383983,0.01745968760145738,0.0006311239823824505,0.019964896884598505,0.017008117510630073,0.0029567793739684323,0.15011037527593818,6.544734630622467,0.000263118553292229,1.0
6177,21,3,18,1,1,0,0.018124620169449112,0.017456853798849436,0.0006677663705996761,0.02018429135585783,0.016952896349881275,0.003231395005976554,0.15011037527593818,6.5429195707627334,0.0002056763143872215,1.0
6178,16,4,12,1,0,1,0.01812202880937913,0.01746398110247579,0.0006580477069033398,0.02017986400526431,0.01701093560145808,0.0031689284038062294,0.15011037527593818,6.540993998340427,0.00014709735009375832,1.0
6179,25,4,21,1,0,1,0.018119438190200492,0.017469689457790597,0.0006497487324098952,0.02017986400526431,0.01705486256761232,0.00312500143765199,0.15011037527593818,6.539052227899421,0.00014883460493667406,1.0
6180,16,2,14,0,0,0,0.018118143158346138,0.017467485060703565,0.000650658097642573,0.020175438596491225,0.017059570474245018,0.003115868122246207,0.15011037527593818,6.537224206300761,0.00020753630406378796,1.0
6181,24,4,20,0,0,0,0.018115553649908887,0.017464336886878318,0.0006512167630305689,0.02016659359929855,0.017055803941049844,0.0031107896582487048,0.15011037527593818,6.5354801408331795,0.00026341803266596414,1.0
6182,17,3,14,0,0,0,0.018113612004287245,0.017462133840317886,0.0006514781639693594,0.02017986400526431,0.017063338671378873,0.003116525333885435,0.15011037527593818,6.533833214248676,0.0003204142508868846,1.0
6183,19,2,17,0,0,0,0.018112317805087166,0.01745945945945946,0.0006528583456277062,0.019991212653778553,0.017060512367491166,0.0029307002862873875,0.15011037527593818,6.532286727658498,0.0003775673311893039,1.0
6184,21,7,14,1,0,1,0.018107789563912995,0.017466265516061036,0.0006415240478519595,0.019973661106233533,0.01700999613409179,0.0029636649721417434,0.15011037527593818,6.530826424213051,0.00043320855612816417,1.0
6185,20,7,13,0,0,0,0.01810326358637435,0.017464220414854046,0.0006390431715203038,0.019960517657381,0.017012814847547502,0.002947702809833499,0.15011037527593818,6.529468404999926,0.0004901052293847266,1.0
6186,35,3,32,0,0,0,0.018101324574243995,0.01745918835934053,0.0006421362149034646,0.01996927803379416,0.01700060716454159,0.002968670869252569,0.15011037527593818,6.528199207399025,0.0005454779750784381,1.0
6187,25,7,18,0,0,0,0.018096801827527126,0.017456359102244388,0.0006404427252827381,0.019964896884598505,0.017003422766920614,0.0029614741176778904,0.15011037527593818,6.527016635924208,0.0006003269360161241,1.0
6188,18,6,12,0,0,0,0.01809292698593962,0.017454473440214602,0.0006384535457250179,0.01995176496382372,0.01700999613409179,0.00294176882973193,0.15011037527593818,6.525929603469273,0.0006556383693134455,1.0
6189,24,4,20,0,0,0,0.018090344679940057,0.01745133157529993,0.0006390131046401272,0.019964896884598505,0.01695383256019439,0.0030110643244041155,0.15011037527593818,6.524933457414886,0.0007101147567352012,1.0
6190,14,3,11,0,0,0,0.0180884084341218,0.017449604031677467,0.0006388044024443346,0.019991212653778553,0.016960388928788466,0.0030308237249900873,0.15011037527593818,6.524045769805489,0.0007657722250578322,1.0
6191,19,6,13,0,0,0,0.01808453718566078,0.017447562830122467,0.0006369743555383126,0.019973661106233533,0.01690887992484942,0.0030647811813841117,0.15011037527593818,6.52326715864466,0.0008210006772619635,1.0
