t,rfront,global_diff
395,5.0,6.250000000005668e-10
396,5.0,6.250000000005843e-10
397,5.0,6.250000000006968e-10
398,5.0,6.250000000006443e-10
399,5.0,6.250000000005711e-10
400,5.0,6.250000000006435e-10
401,5.0,6.250000000008414e-10
402,5.0,6.250000000007555e-10
403,5.0,6.250000000007132e-10
404,5.0,6.250000000008683e-10
405,5.0,6.250000000008996e-10
406,5.0,6.250000000013383e-10
407,5.0,6.25000000001196e-10
408,5.0,6.250000000014479e-10
409,5.0,6.25000000001567e-10
410,5.0,6.250000000013747e-10
411,5.0,6.250000000012468e-10
412,5.0,6.250000000012746e-10
413,5.0,6.250000000010798e-10
414,5.0,6.250000000009523e-10
415,5.0,6.250000000012585e-10
416,5.0,6.250000000011481e-10
417,5.0,6.250000000012189e-10
418,5.0,6.250000000013058e-10
419,5.0,6.25000000001524e-10
420,5.0,6.250000000015386e-10
421,5.0,6.250000000016899e-10
422,5.0,6.250000000019512e-10
423,5.0,6.250000000018742e-10
424,5.0,6.250000000019674e-10
425,5.0,6.250000000019253e-10
426,5.0,6.250000000018993e-10
427,5.0,6.250000000018527e-10
428,5.0,6.250000000020367e-10
429,5.0,6.250000000020076e-10
430,5.0,6.250000000020138e-10
431,5.0,6.25000000002061e-10
432,5.0,6.250000000019046e-10
433,5.0,6.250000000017729e-10
434,5.0,6.250000000021508e-10
435,5.0,6.250000000021512e-10
436,5.0,6.250000000021382e-10
437,5.0,6.250000000023047e-10
438,5.0,6.25000000002427e-10
439,5.0,6.250000000018999e-10
440,5.0,6.250000000016738e-10
441,5.0,6.250000000016718e-10
442,5.0,6.250000000017368e-10
443,5.0,6.250000000017582e-10
444,5.0,6.250000000017516e-10
445,5.0,6.250000000019602e-10
446,5.0,6.25000000002168e-10
447,5.0,6.250000000022662e-10
448,5.0,6.250000000024494e-10
449,5.0,6.25000000002379e-10
450,5.0,6.25000000002289e-10
451,5.0,6.250000000024864e-10
452,5.0,6.250000000027255e-10
453,5.0,6.250000000026098e-10
454,5.0,6.25000000002471e-10
455,5.0,6.250000000023457e-10
456,5.0,6.25000000002436e-10
457,5.0,6.250000000021125e-10
458,5.0,6.250000000023352e-10
459,5.0,6.250000000023474e-10
460,5.0,6.250000000021608e-10
461,5.0,6.250000000020946e-10
462,5.0,6.25000000002323e-10
463,5.0,6.250000000020376e-10
464,5.0,6.25000000002012e-10
465,5.0,6.250000000017203e-10
466,5.0,6.250000000017475e-10
467,5.0,6.250000000017717e-10
468,5.0,6.250000000019852e-10
469,5.0,6.250000000018445e-10
470,5.0,6.250000000019859e-10
471,5.0,6.250000000021354e-10
472,5.0,6.250000000020872e-10
473,5.0,6.250000000019845e-10
474,5.0,6.250000000020694e-10
475,5.0,6.250000000021556e-10
476,5.0,6.250000000023005e-10
477,5.0,6.250000000023994e-10
478,5.0,6.250000000024927e-10
479,5.0,6.250000000024462e-10
480,5.0,6.250000000025616e-10
481,5.0,6.25000000002456e-10
482,5.0,6.250000000024901e-10
483,5.0,6.250000000024472e-10
484,5.0,6.250000000024192e-10
485,5.0,6.250000000023795e-10
486,5.0,6.250000000023436e-10
487,5.0,6.250000000023787e-10
488,5.0,6.250000000022731e-10
489,5.0,6.250000000022521e-10
490,5.0,6.250000000021698e-10
491,5.0,6.250000000020899e-10
492,5.0,6.25000000002185e-10
493,5.0,6.250000000021839e-10
494,5.0,6.250000000021474e-10
495,5.0,6.250000000018563e-10
496,5.0,6.250000000019112e-10
497,5.0,6.250000000014803e-10
498,5.0,6.250000000014646e-10
499,5.0,6.250000000013887e-10
500,5.0,6.250000000015273e-10
501,5.0,6.250000000014206e-10
502,5.0,6.250000000013533e-10
503,5.0,6.250000000015081e-10
504,5.0,6.250000000013167e-10
505,5.0,6.250000000012661e-10
506,5.0,6.250000000011621e-10
507,5.0,6.250000000012678e-10
508,5.0,6.250000000015208e-10
509,5.0,6.250000000017466e-10
510,5.0,6.25000000001785e-10
511,5.0,6.250000000017714e-10
512,5.0,6.250000000016805e-10
513,5.0,6.250000000016596e-10
514,5.0,6.25000000001558e-10
515,5.0,6.25000000001256e-10
516,5.0,6.250000000013689e-10
517,5.0,6.250000000012579e-10
518,5.0,6.250000000010862e-10
519,5.0,6.25000000000989e-10
520,5.0,6.2500000000097e-10
521,5.0,6.250000000012451e-10
522,5.0,6.250000000011775e-10
523,5.0,6.250000000011662e-10
524,5.0,6.250000000010869e-10
525,5.0,6.250000000008981e-10
526,5.0,6.250000000009319e-10
527,5.0,6.250000000008678e-10
528,5.0,6.250000000007333e-10
529,5.0,6.250000000010225e-10
530,5.0,6.250000000011141e-10
531,5.0,6.25000000000918e-10
532,5.0,6.250000000010317e-10
533,5.0,6.250000000008953e-10
534,5.0,6.250000000008281e-10
535,5.0,6.250000000010557e-10
536,5.0,6.25000000000961e-10
537,5.0,6.250000000009759e-10
538,5.0,6.250000000011512e-10
539,5.0,6.250000000010441e-10
540,5.0,6.250000000009852e-10
541,5.0,6.250000000009073e-10
542,5.0,6.250000000007079e-10
543,5.0,6.250000000006949e-10
544,5.0,6.250000000007431e-10
545,5.0,6.25000000000719e-10
546,5.0,6.250000000005909e-10
547,5.0,6.250000000002554e-10
548,5.0,6.250000000003106e-10
549,5.0,6.250000000003556e-10
550,5.0,6.25000000000451e-10
551,5.0,6.250000000002951e-10
552,5.0,6.249999999999972e-10
553,5.0,6.250000000000261e-10
554,5.0,6.249999999998776e-10
555,5.0,6.249999999997772e-10
556,5.0,6.249999999996871e-10
557,5.0,6.24999999999684e-10
558,5.0,6.249999999994811e-10
559,5.0,6.249999999994805e-10
560,5.0,6.249999999995681e-10
561,5.0,6.250000000000208e-10
562,5.0,6.249999999998736e-10
563,5.0,6.250000000000951e-10
564,5.0,6.249999999999094e-10
565,5.0,6.249999999997623e-10
566,5.0,6.249999999994288e-10
567,5.0,6.249999999995311e-10
568,5.0,6.249999999990639e-10
569,5.0,6.249999999991289e-10
570,5.0,6.249999999991462e-10
571,5.0,6.249999999993938e-10
572,5.0,6.249999999992102e-10
573,5.0,6.249999999990495e-10
574,5.0,6.249999999993785e-10
575,5.0,6.249999999993947e-10
576,5.0,6.249999999993251e-10
577,5.0,6.249999999993384e-10
578,5.0,6.249999999996244e-10
579,5.0,6.249999999994678e-10
580,5.0,6.249999999994416e-10
581,5.0,6.249999999993343e-10
582,5.0,6.249999999994571e-10
583,5.0,6.249999999994919e-10
584,5.0,6.249999999995549e-10
585,5.0,6.249999999995182e-10
586,5.0,6.24999999999377e-10
587,5.0,6.249999999994759e-10
588,5.0,6.249999999994535e-10
589,5.0,6.249999999995129e-10
590,5.0,6.249999999992638e-10
591,5.0,6.249999999991851e-10
592,5.0,6.249999999992492e-10
593,5.0,6.249999999992452e-10
594,5.0,6.249999999991675e-10
595,5.0,6.249999999994522e-10
596,5.0,6.249999999995746e-10
597,5.0,6.249999999996843e-10
598,5.0,6.249999999998484e-10
599,5.0,6.250000000000096e-10
600,5.0,6.25000000000088e-10
