t,S,L_flow,P,gini_flow,top10_flow,gini_mem,top10_mem,norm
193,637,0.48351002013029576,0.0007590424177869635,0.31242374154750363,0.013599588390789489,0.49337488692932424,0.03142255585927037,0.9999999999999997
194,639,0.47965694268054626,0.0007506368430055498,0.31173708765970715,0.013567599048422809,0.49246827063914395,0.03132186165812825,1.0000000000000002
195,640,0.4758259877958098,0.0007434781059309528,0.3110601891634244,0.013535923005093946,0.49157076835991476,0.031222470969488315,1.0000000000000002
196,642,0.47201725176934206,0.000735229364126701,0.31039294790069505,0.013504556657105529,0.49068225847053437,0.03112436199589734,1.0000000000000004
197,643,0.4682308238279731,0.0007281972376795849,0.30973520903922985,0.013473496458969461,0.489802623733313,0.031027513396168747,0.9999999999999999
198,645,0.4644667862954104,0.0007201035446440471,0.309086912995631,0.01344273892204569,0.48893181217006026,0.03093190427389212,1.0
199,646,0.46072521475378225,0.00071319692686344,0.3084479093344711,0.013412280613218155,0.4880697116376285,0.03083751416628229,0.9999999999999999
200,647,0.45700617820336514,0.0007063464887223572,0.3078181438831831,0.013382118153607195,0.4872162029958892,0.030744323033356145,1.0000000000000002
201,649,0.4533097392204517,0.0006984741744537007,0.30719740663694045,0.013352248217317194,0.4863711586540501,0.030652311247426192,1.0000000000000002
202,650,0.44963595411331325,0.0006917476217127896,0.306585487962847,0.013322667530219042,0.48553447841930325,0.030561459582900016,1.0000000000000002
203,651,0.4459848730762186,0.0006850766099481085,0.30598232253854935,0.013293372868766118,0.48470612057341933,0.030471749206375465,1.0
204,653,0.44235654034147254,0.000677421960706696,0.30538767804430883,0.013264361058843219,0.4838859874593444,0.030383161667021593,1.0
205,654,0.43875099432944104,0.0006708730800144358,0.3048015428208097,0.013235628974647433,0.4830739665868833,0.030295678887235823,1.0000000000000002
206,655,0.43516826779653506,0.0006643790348038703,0.30422383636633055,0.013207173537600193,0.48226992763070253,0.030209283153568262,0.9999999999999999
207,656,0.43160838798112616,0.0006579396158248875,0.3036545142556113,0.01317899171528959,0.4814738419520011,0.030123957107904227,1.0
208,658,0.42807137674737206,0.0006505644023516293,0.3030933713857776,0.013151080520442296,0.48068563859133845,0.03003968373889666,0.9999999999999998
209,659,0.4245572507269307,0.0006442446900256915,0.30254011786260565,0.013123477012275672,0.47990517008243105,0.029956446373640075,0.9999999999999997
210,660,0.4210660214585482,0.0006379788203917398,0.30199483101826086,0.013096218688932673,0.47913241010928137,0.029874228669578378,1.0
211,661,0.41759769552550496,0.0006317665590400983,0.3014574205991072,0.013069217628929371,0.47836724195142655,0.029793014606638902,1.0000000000000002
212,662,0.41415227469090776,0.0006256076656962353,0.3009277910893912,0.013042471165707554,0.4776095460835216,0.029712788479585285,1.0000000000000002
213,663,0.410729756030821,0.0006195018944657934,0.30040583621150085,0.01301597666844649,0.4768592427927971,0.029633534890582385,0.9999999999999999
214,665,0.40733013206522856,0.0006125265143838023,0.29989154182420497,0.012989731541342779,0.47611630019632534,0.029555238741966257,1.0
215,666,0.4039533908868225,0.0006065366229531869,0.2993846711559389,0.012963733222909685,0.47538057996744676,0.029477885229212845,1.0000000000000002
216,667,0.4005995162876159,0.0006005989749439519,0.2988852376948614,0.01293797918529525,0.47465200845571665,0.02940145983409894,0.9999999999999997
217,668,0.39726848788338076,0.0005947133052146418,0.2983930784612673,0.012912469054577708,0.47393055899515746,0.029325948318049546,1.0
218,669,0.3939602812359119,0.0005888793441493451,0.2979080965904162,0.012887229811031605,0.4732161327536145,0.02925133671566564,0.9999999999999999
219,670,0.3906748679731201,0.0005830968178703285,0.29743009996755765,0.012862229091702758,0.47250864791862923,0.02917761132842684,0.9999999999999998
220,671,0.3874122159069613,0.0005773654484455459,0.2969590250538818,0.012837464424943724,0.4718080077424591,0.029104758718563387,0.9999999999999996
221,672,0.3841722891492072,0.0005716849540910821,0.2964946916310451,0.012812933371967894,0.47111411259735697,0.02903276570309247,1.0000000000000002
222,673,0.3809550482250681,0.0005660550493686004,0.2960370055373221,0.012788633526195494,0.4704269100463684,0.02896161934801352,0.9999999999999997
223,674,0.37776045018467463,0.0005604754453778555,0.29558598845447126,0.012764562512617574,0.46974631365378966,0.028891306962657827,1.0
224,675,0.37458844871243513,0.0005549458499443483,0.29514141286729934,0.012740717987176894,0.46907226250189454,0.028821816094187713,1.0000000000000002
225,676,0.3714389942342753,0.0005494659678021824,0.29470325849944223,0.012717097636165844,0.46840469178758104,0.028753134522240723,1.0000000000000004
226,677,0.36831203402277957,0.0005440355007722003,0.2942714100722747,0.012693699175640423,0.46774352035588657,0.028685250253714357,1.0000000000000002
227,678,0.36520751230024673,0.0005386541479354671,0.2938458131747509,0.012670520350850041,0.46708867499627066,0.0286181515176873,0.9999999999999999
228,679,0.36212537033967607,0.0005333216058021738,0.29342646027159036,0.01264755893568252,0.4664401120878312,0.028551826760472885,1.0000000000000002
229,680,0.35906554656370315,0.000528037568476034,0.29301316699240143,0.012624812732124005,0.46579775231579623,0.028486264640800906,1.0000000000000002
230,680,0.35602797664150043,0.0005235705538845594,0.29260596119515636,0.012602279569733157,0.4651615346275185,0.02842145402512397,0.9999999999999999
231,681,0.3530125935836669,0.0005183738525457663,0.2922046784288086,0.01257995730512933,0.46453137480518375,0.02835738398304475,1.0000000000000002
232,682,0.35001932783512,0.00051322482087261,0.29180910907552765,0.012557843821494174,0.46390718673031056,0.0282940437828604,1.0
233,683,0.3470481073660172,0.000508123144020523,0.2914193523266253,0.012535937028086475,0.46328891592024246,0.028231422887220928,1.0
234,684,0.344098857760724,0.0005030685054981345,0.2910353192335089,0.012514234859769562,0.46267649940604916,0.028169510948898014,0.9999999999999997
235,685,0.34117150230485244,0.0004980605873063539,0.29065682726785846,0.012492735276551068,0.4620698576625301,0.028108297806661135,0.9999999999999998
236,685,0.3382659620703927,0.0004938189227305003,0.2902838129750656,0.012471436263134732,0.46146898173155315,0.028047773481257865,0.9999999999999997
237,686,0.33538215599896043,0.0004888952711355108,0.2899162798386074,0.012450335828483565,0.4608737623179711,0.027987928171495324,0.9999999999999999
238,687,0.3325200009831833,0.0004840174686800339,0.2895540572933176,0.012429432005394458,0.4602841573327665,0.02792875225041991,0.9999999999999999
239,688,0.32967941194625183,0.0004791851917823428,0.2891970552090768,0.012408722850083511,0.4597000979442153,0.027870236261592483,1.0
240,689,0.32686030191965765,0.0004743981159936976,0.28884525857250504,0.01238820644178203,0.4591215194110291,0.02781237091545619,0.9999999999999999
241,689,0.3240625821191456,0.00047033756475928245,0.2884986763459765,0.012367880882342676,0.45854836937724724,0.02775514708579444,0.9999999999999999
242,690,0.3212861620189028,0.0004656321188679751,0.28815712544722305,0.012347744295855561,0.4579805466196013,0.02769855580627638,0.9999999999999999
243,691,0.31853094942401117,0.0004609709832474836,0.2878205278918095,0.012327794828273909,0.45741804965815447,0.02764258826708738,0.9999999999999998
244,692,0.3157968505411898,0.0004563538302618349,0.2874888929863893,0.012308030647049174,0.45686084765883406,0.02758723581164226,1.0
245,692,0.3130837700478509,0.0004524331937107672,0.2871621036033751,0.01228844994077501,0.4563088298049739,0.027532489933378788,0.9999999999999999
246,693,0.3103916111594963,0.000447895542798696,0.2868400896303695,0.012269050918840136,0.4557619691884189,0.027478342272629335,0.9999999999999999
247,694,0.30772027569548166,0.0004434009736246133,0.2865227846106197,0.012249831811089677,0.4552202170863928,0.027424784613568405,1.0000000000000002
248,694,0.3050696641431717,0.0004395816486212849,0.2862101145414925,0.012230790867494712,0.45468349722044393,0.02737180888123406,1.0
249,695,0.30243967572051544,0.00043516500103671287,0.28590204828606786,0.01221192635782982,0.45415176715178723,0.02731940713862107,1.0
250,696,0.29983020843706587,0.0004307905293636004,0.2855985305253649,0.012193236571358419,0.45362496121111023,0.027267571583843925,1.0
251,696,0.2972411591534705,0.00042707063096763,0.2852994891535213,0.012174719816525572,0.4531030191112243,0.027216294547367743,1.0000000000000002
252,697,0.29467242363946,0.000422772487287604,0.2850048760506506,0.012156374420658048,0.4525859059631039,0.027165568489305184,1.0
253,698,0.2921238966303593,0.0004185156112182798,0.284714522836294,0.012138198729671541,0.4520735971556024,0.027115385996777697,0.9999999999999999
254,698,0.2895954718821493,0.00041489322619219095,0.28442842432557586,0.012120191107784731,0.45156601867394386,0.027065739781339197,1.0
255,699,0.2870870422251022,0.0004107110761446383,0.2841465577587194,0.0121023499372399,0.45106311267919075,0.02701662267646065,1.0
256,699,0.28459849961601946,0.00040715092935052856,0.2838689075085066,0.012084673618030107,0.45056483983703227,0.026968027635073735,1.0000000000000004
257,700,0.28212973518909656,0.00040304247884156654,0.28359535255501417,0.012067160567632572,0.4500711567844249,0.026919947727172225,0.9999999999999997
258,701,0.27968063930543935,0.0003989738078536938,0.28332596117774994,0.01204980922074811,0.44958201504721507,0.02687237613746935,1.0
259,701,0.27725110160125904,0.0003955079908719815,0.28306058929980793,0.012032651798043593,0.4490973192811604,0.02682530616310974,1.0000000000000002
260,702,0.27484101103476966,0.0003915114117304411,0.2827991754421198,0.012015741415623855,0.4486170618312965,0.026778731211434523,1.0
261,702,0.27245025593181404,0.0003881057776806468,0.28254158411766783,0.011998986398628177,0.44814120492706316,0.0267326447977981,1.0
262,703,0.2700787240302427,0.0003841802617784391,0.282287772920614,0.011982385282760976,0.4476697031285267,0.026687040543435268,1.0000000000000002
263,703,0.2677263025230695,0.00038083400074405334,0.2820376468115832,0.011965936618850497,0.44720250746275164,0.026641912173377448,0.9999999999999999
264,704,0.2653928781004301,0.00037697852002902004,0.28179120680329267,0.011949638972646712,0.44673956611227456,0.026597253514416514,1.0
265,704,0.263078336990366,0.00037369081958858806,0.28154834080548424,0.011933490924623303,0.44628082648931533,0.02655305849311531,0.9999999999999999
266,705,0.26078256499845764,0.00036990434751554276,0.28130904350645947,0.011917491069783728,0.44582624970437457,0.026509321133863267,1.0
267,705,0.258505447546333,0.00036667439368274184,0.28107328244089086,0.011901638017471088,0.445375809050013,0.02646603555697629,0.9999999999999999
268,706,0.2562468697090702,0.00036295590610349886,0.2808410097543295,0.011885930391182,0.444929445269731,0.026423195976839526,0.9999999999999998
269,706,0.25400671625152305,0.00035978288420895617,0.2806121986931755,0.011870366828383796,0.4444870963538463,0.02638079670009209,1.0000000000000002
270,707,0.2517848716635869,0.0003561313602030932,0.2803868281489248,0.011854945980335702,0.44404874912226094,0.02633883212385248,1.0000000000000002
271,707,0.24958122019443071,0.0003530144557205526,0.28016483655809193,0.011839666511913257,0.44361436717081976,0.02629729673398384,1.0000000000000002
272,708,0.24739564588571716,0.000349428878369657,0.2799461623052463,0.01182452710143618,0.4431838976025547,0.02625618510339791,1.0
273,708,0.24522803260383086,0.00034636727768902665,0.27973083001641086,0.011809526440499539,0.44275729928944846,0.02621549189039679,0.9999999999999999
274,709,0.24307826407113853,0.00034284663479709244,0.2795187735542562,0.011794663233808098,0.4423345127769523,0.026175211837051418,1.0
275,709,0.24094622389630133,0.0003398395259468284,0.27930995022091776,0.011779936199013793,0.4419155059056226,0.026135339767616006,0.9999999999999998
276,710,0.2388317956036602,0.0003363828107093806,0.2791042729526541,0.011765344066556183,0.4415002649955374,0.02609587058697737,0.9999999999999999
277,710,0.23673486266171592,0.0003334293840305858,0.27890170745436865,0.011750885579506017,0.44108875070168596,0.02605679927913839,1.0
278,711,0.23465530851072303,0.00033003559565502537,0.2787022041912856,0.01173655949341142,0.4406808964294293,0.026018120905734764,1.0
279,711,0.23259301658941872,0.0003271350444295622,0.2785056879642378,0.011722364576147067,0.44027667369060075,0.025979830604584014,1.0000000000000004
280,711,0.230547870360906,0.00032425860810254007,0.27831209380185956,0.011708299607765893,0.4398760525312277,0.02594192358826627,0.9999999999999998
281,712,0.22851975333771019,0.000320954709743975,0.27812142183761024,0.011694363380353701,0.4394790072382552,0.025904395142735768,0.9999999999999997
